[PROBE]
"Digital High Pressure Dilatometer"

[PROJECT DETAILS]
"Contract name",Borehole,Easting,Northing,Elevation
,,,,

[TEST DETAILS]
"Test name","Test date","Depth (M)","Heading (deg)","Data Rate (secs)","Start Line","Stop Line",Material:
B0001T01,24/11/21," 36.70",290,10,1,254,Fels

[COMMENTS]
""

[CALIBRATION FACTORS]
Sensor,"Zero (mV)",Slope,Units,"Zero (kPa)","Slope (kPa/mm)","Compliance (mm/GPa)"
"Arm 1"," -2209.5","   126.1",mV/mm,361.0,11.2,"     1.0"
"Arm 2"," -2176.6","   129.1",mV/mm,361.0,11.2,"     1.0"
"Arm 3"," -2556.4","   131.8",mV/mm,361.0,11.2,"     1.0"
"Arm 4"," -1267.3","   126.7",mV/mm,361.0,11.2,"     1.0"
"Arm 5"," -2673.1","   131.0",mV/mm,361.0,11.2,"     1.0"
"Arm 6","  -838.9","   131.3",mV/mm,361.0,11.2,"     1.0"
"TPC A","   786.1","    69.9",mV/MPa
"TPC B"," -1422.7","    67.2",mV/MPa

[PROBE DIMENSIONS]
"Diameter over  probe","Diameter under membrane","CHL strip thickness"
" 95.00"," 82.00",1.0000

[COMPASS FACTORS (units in millivolts)]
Sensor,Minimum,Maximum
Sine,-2.5148,0.0378
Cosine,-0.8165,1.6079

[DATA IN ENGINEERING UNITS]
"Line No.","Arm 1","TPC 1","Arm 2","TPC 2","Arm 3","TPC 3","Arm 4","TPC 4","Arm 5","TPC 5","Arm 6","TPC 6",Sin,Cosine,"Arm Average","TPC Average"
,(mm),(kPa),(mm),(kPa),(mm),(kPa),(mm),(kPa),(mm),(kPa),(mm),(kPa),(V),(V),(mm),(kPa)
100,13.4560,790.2,9.7778,790.2,10.1679,790.2,11.0500,790.2,9.2182,790.2,9.4099,790.2,-1.8127,0.5947,10.5133,790.2
101,13.4750,835.8,9.7991,835.8,10.1853,835.8,11.0660,835.8,9.2274,835.8,9.4190,835.8,-1.8125,0.5949,10.5286,835.8
102,13.5021,897.1,9.8296,897.1,10.2111,897.1,11.0900,897.1,9.2429,897.1,9.4352,897.1,-1.8129,0.5948,10.5518,897.1
103,13.5424,981.1,9.8786,981.1,10.2522,981.1,11.1285,981.1,9.2691,981.1,9.4620,981.1,-1.8127,0.5943,10.5888,981.1
104,13.5865,1069.3,9.9304,1069.3,10.2969,1069.3,11.1700,1069.3,9.3008,1069.3,9.4937,1069.3,-1.8127,0.5946,10.6297,1069.3
105,13.6328,1157.5,9.9872,1157.5,10.3451,1157.5,11.2137,1157.5,9.3367,1157.5,9.5302,1157.5,-1.8127,0.5943,10.6743,1157.5
106,13.6842,1247.1,10.0484,1247.1,10.3954,1247.1,11.2625,1247.1,9.3783,1247.1,9.5717,1247.1,-1.8127,0.5949,10.7234,1247.1
107,13.7378,1336.6,10.1095,1336.6,10.4451,1336.6,11.3135,1336.6,9.4226,1336.6,9.6166,1336.6,-1.8130,0.5947,10.7742,1336.6
108,13.7908,1420.5,10.1701,1420.5,10.4934,1420.5,11.3674,1420.5,9.4712,1420.5,9.6643,1420.5,-1.8128,0.5950,10.8262,1420.5
109,13.8483,1502.8,10.2377,1502.8,10.5481,1502.8,11.4279,1502.8,9.5302,1502.8,9.7198,1502.8,-1.8130,0.5951,10.8853,1502.8
110,13.9220,1592.0,10.3240,1592.0,10.6196,1592.0,11.5059,1592.0,9.6110,1592.0,9.7935,1592.0,-1.8130,0.5949,10.9627,1592.0
111,14.0192,1678.2,10.4261,1678.2,10.7046,1678.2,11.5965,1678.2,9.7163,1678.2,9.8889,1678.2,-1.8131,0.5950,11.0586,1678.2
112,14.1523,1757.0,10.5468,1757.0,10.8045,1757.0,11.6983,1757.0,9.8463,1757.0,10.0069,1757.0,-1.8131,0.5948,11.1758,1757.0
113,14.2988,1835.6,10.6842,1835.6,10.9185,1835.6,11.8148,1835.6,10.0043,1835.6,10.1500,1835.6,-1.8131,0.5952,11.3118,1835.6
114,14.4689,1916.8,10.8458,1916.8,11.0481,1916.8,11.9440,1916.8,10.1933,1916.8,10.3143,1916.8,-1.8130,0.5952,11.4691,1916.8
115,14.6451,1990.8,11.0190,1990.8,11.1835,1990.8,12.0800,1990.8,10.4019,1990.8,10.4879,1990.8,-1.8128,0.5954,11.6362,1990.8
116,14.8221,2059.0,11.1937,2059.0,11.3204,2059.0,12.2160,2059.0,10.6175,2059.0,10.6595,2059.0,-1.8131,0.5952,11.8049,2059.0
117,14.9797,2094.7,11.3461,2094.7,11.4339,2094.7,12.3191,2094.7,10.7780,2094.7,10.7829,2094.7,-1.8134,0.5953,11.9400,2094.7
118,15.0555,2095.4,11.4198,2095.4,11.4883,2095.4,12.3650,2095.4,10.8547,2095.4,10.8429,2095.4,-1.8132,0.5950,12.0043,2095.4
119,15.1092,2089.2,11.4677,2089.2,11.5229,2089.2,12.3945,2089.2,10.9040,2089.2,10.8831,2089.2,-1.8136,0.5948,12.0469,2089.2
120,15.1482,2086.0,11.5028,2086.0,11.5490,2086.0,12.4167,2086.0,10.9406,2086.0,10.9141,2086.0,-1.8133,0.5951,12.0786,2086.0
